4356.8	201.65	-0.076162	50.537	615560.0	67.965	854.2	-47.975	-6.817	-1.8912
-2850.8	-467.53	0.060788	-46.812	-436330.0	-17.177	84.624	-42.975	-0.11136	0.97369
4678.7	593.85	-0.054212	98.102	662540.0	109.82	972.32	69.025	-7.8412	-0.51343
11472.0	2686.0	-0.035182	186.65	1529200.0	174.1	2570.0	216.02	-15.885	-0.96297
7280.2	1616.2	-0.032252	124.12	1069500.0	137.9	1531.5	28.025	-12.329	-0.57024
-2990.3	-503.9	0.062868	-35.363	-422810.0	-36.623	-622.14	-25.975	3.7298	0.13472
-4838.7	-1980.4	-0.096352	-59.181	-638120.0	-84.095	-1834.8	7.0249	8.3205	-1.2968
-2854.2	-783.8	0.015888	-47.591	-364130.0	-52.904	-619.86	-50.975	3.8307	0.60704
592.9	235.88	0.0084881	25.156	55671.0	13.815	837.78	-4.9751	-5.5853	-0.31925
6276.1	2476.6	0.037838	112.02	882590.0	117.95	1383.6	216.02	-9.8504	-0.84002
2227.3	-440.31	-0.089402	41.128	350380.0	37.38	630.96	-17.975	-4.6288	-1.2337
-1489.3	-521.24	-0.0046119	-9.5835	-221200.0	2.9619	-734.29	-59.975	1.5656	-0.83063
-4910.9	-1484.8	0.0065381	-67.74	-685310.0	-78.374	-1973.8	-57.975	8.4585	0.84227
-3914.9	-887.52	0.055158	-42.76	-546250.0	-51.966	-563.94	14.025	3.5052	-0.77049
265.9	-524.73	-0.056512	-2.7184	87583.0	-22.919	-349.92	57.025	0.92504	-0.74538
-3154.5	-900.31	0.012778	-37.717	-459200.0	-47.702	-897.39	-51.975	5.614	-0.94962
502.4	685.55	0.054548	-15.166	97426.0	-6.2451	-137.29	-66.975	-2.9563	0.7166
5385.7	1447.6	-0.0097519	84.406	746000.0	91.776	1308.3	81.025	-14.555	-0.67598
5099.4	1240.4	-0.017992	92.602	701920.0	76.581	1647.5	65.025	-11.874	-1.0583
-565.1	-858.48	-0.070422	5.8276	-98601.0	-3.0401	19.274	-25.975	-0.082464	-0.76886
-3572.9	-1217.4	-0.016632	-51.469	-549780.0	-41.861	-255.1	-49.975	5.3471	-0.72898
